"UPS Shipping Services","UPS Shipping Services"
"Dangerous Goods (DG)", "Dangerous Goods (DG)"
"Dangerous Goods", "Dangerous Goods"
"DG Transportation Mode", "DG Transportation Mode"
"DG Regulation","DG Regulation"
"DG Proper Shipping Name", "DG Goods' Proper Shipping Name"
"DG Signatory Name", "DG Signatory Name"
"DG Signatory Place", "DG Signatory Place"
"Dangerous Goods Default Signatory Name", "Dangerous Goods Default Signatory Name"
"Dangerous Goods Default Signatory Place", "Dangerous Goods Default Signatory Place"
"Dangerous Goods Declaration Level", "Dangerous Goods Declaration Level"
"Dangerous Goods Default Regulation", "Dangerous Goods Default Regulation"
"Dangerous Goods Default Transportation Mode", "Dangerous Goods Default Transportation Mode"
"Highway", "Highway"
"Ground", "Ground"
"Passenger Aircraft", "Passenger Aircraft"
"Cargo Aircraft Only", "Cargo Aircraft Only"
"Package Level", "Package Level"
"Shipment Level", "Shipment Level"
